username,total_reports,valid_reports,avg_vote_count,verified_status,cleared_status,specialization,valid_percentage
0x01alka,9,9,8.0,False,False,Cross-site Scripting (XSS) - Generic,100.0
eboda,9,9,13.222222222222221,False,False,Cross-site Scripting (XSS) - Generic,100.0
flex0geek,9,7,10.0,True,False,Violation of Secure Design Principles,77.78
egix,9,9,5.444444444444445,True,False,Cross-site Scripting (XSS) - Generic,100.0
fiveguyslover,9,9,5.444444444444445,False,False,Cross-site Scripting (XSS) - Reflected,100.0
testingforbugs,8,7,20.75,True,True,Cross-site Scripting (XSS) - Reflected,87.5
mega7,8,6,78.875,True,False,,75.0
0xspade,8,4,11.625,False,False,,50.0
rullzer,8,8,22.25,False,False,Improper Access Control - Generic,100.0
mishre,8,8,30.75,False,False,,100.0
opnsec,8,7,25.375,False,False,Cross-Site Request Forgery (CSRF),87.5
defmax,8,7,2.0,True,False,Cross-Site Request Forgery (CSRF),87.5
cablej_dds,8,8,10.0,False,False,Improper Authentication - Generic,100.0
dr_dragon,8,7,47.25,False,False,Cross-site Scripting (XSS) - Stored,87.5
bigbear,8,6,2.0,False,False,Cross-site Scripting (XSS) - Generic,75.0
newcodeslayer137,8,8,29.375,False,False,,100.0
jorgectf,8,8,15.5,False,False,,100.0
bigbug,8,7,18.5,True,False,Information Disclosure,87.5
robin,8,6,2.75,False,False,Cryptographic Issues - Generic,75.0
alexeysergeevich,8,8,34.5,False,False,SQL Injection,100.0
hoangnguyen,8,8,3.0,False,False,Memory Corruption - Generic,100.0
hogarth45,8,8,36.875,True,True,Cross-site Scripting (XSS) - Generic,100.0
twicedi,8,8,6.375,False,False,Cross-site Scripting (XSS) - Reflected,100.0
whoisbinit,8,8,11.25,False,False,LDAP Injection,100.0
skyn3t,8,8,10.875,False,False,Information Exposure Through Directory Listing,100.0
saltyyolk,8,8,178.25,False,False,Command Injection - Generic,100.0
bogdantcaciuc,8,8,17.625,True,True,Cross-site Scripting (XSS) - Generic,100.0
mohaab007,8,3,1.875,False,False,Cryptographic Issues - Generic,37.5
d0xing,8,8,16.375,False,False,Misconfiguration,100.0
0xprial,8,8,64.25,True,True,Insecure Direct Object Reference (IDOR),100.0
akashhamal0x01,8,7,54.5,False,False,Information Disclosure,87.5
b42f97eb69dddcafe5cc278,8,8,14.625,False,False,Cross-site Scripting (XSS) - Reflected,100.0
jarvis0x1,8,8,11.625,False,False,Cross-site Scripting (XSS) - Reflected,100.0
jamesclyde,8,7,8.625,False,False,Improper Authentication - Generic,87.5
find_me_here,8,8,41.375,True,True,Insecure Direct Object Reference (IDOR),100.0
sumit7,8,4,7.375,False,False,Violation of Secure Design Principles,50.0
whhackersbr,8,7,45.125,True,True,Cross-Site Request Forgery (CSRF),87.5
b7882330c6060c6b277c5a1,8,6,4.75,False,False,Cross-Site Request Forgery (CSRF),75.0
a_d_a_m,8,8,53.75,True,True,Improper Access Control - Generic,100.0
l00ph0le,8,8,45.0,True,True,Code Injection,100.0
sim4n6,7,7,8.428571428571429,True,True,,100.0
mrnull1337,7,3,4.142857142857143,False,False,Violation of Secure Design Principles,42.86
vineet,7,4,2.142857142857143,False,False,Information Disclosure,57.14
abdilahrf_,7,7,62.0,True,True,Path Traversal,100.0
supr4s,7,7,6.428571428571429,True,False,Cross-site Scripting (XSS) - Reflected,100.0
mr_edwards,7,7,15.285714285714286,False,False,Uncontrolled Resource Consumption,100.0
fr33rh,7,7,34.714285714285715,False,False,Command Injection - Generic,100.0
dee-see,7,7,27.285714285714285,True,True,Uncontrolled Resource Consumption,100.0
0r10nh4ck,7,7,10.428571428571429,False,False,Improper Access Control - Generic,100.0
spam404,7,7,5.142857142857143,True,True,Cross-site Scripting (XSS) - Generic,100.0
mafia,7,6,3.142857142857143,False,False,Cross-site Scripting (XSS) - Generic,85.71
superman85,7,6,33.142857142857146,True,True,Improper Access Control - Generic,85.71
d3f4u17,7,6,86.28571428571429,True,True,Violation of Secure Design Principles,85.71
kriakiku,7,7,32.285714285714285,False,False,Cross-site Scripting (XSS) - DOM,100.0
kirtixs,7,6,40.285714285714285,False,False,Violation of Secure Design Principles,85.71
masatokinugawa,7,6,11.285714285714286,False,False,,85.71
rootbakar___,7,1,4.428571428571429,False,False,,14.29
mattaustin,7,7,36.857142857142854,False,False,Code Injection,100.0
danlec,7,7,11.142857142857142,False,False,,100.0
skavans,7,7,48.857142857142854,False,False,Cross-site Scripting (XSS) - Generic,100.0
ruisilva,7,2,2.2857142857142856,False,False,,28.57
shuvam321,7,7,13.857142857142858,True,True,Information Disclosure,100.0
archangel,7,7,103.71428571428571,True,True,Improper Access Control - Generic,100.0
dantt,7,1,2.142857142857143,True,False,Violation of Secure Design Principles,14.29
sectex,7,7,18.428571428571427,False,False,Cross-site Scripting (XSS) - Stored,100.0
newfunction,7,3,53.57142857142857,True,True,Information Disclosure,42.86
ashwarya,7,7,31.571428571428573,True,True,Insecure Direct Object Reference (IDOR),100.0
h13-,7,7,27.857142857142858,True,True,Improper Access Control - Generic,100.0
h72,7,7,10.285714285714286,False,False,Uncontrolled Resource Consumption,100.0
goodhackonly,7,7,4.428571428571429,False,False,Business Logic Errors,100.0
fr4via,7,7,25.428571428571427,True,False,Forced Browsing,100.0
gnux,7,7,33.0,True,True,Cross-site Scripting (XSS) - Reflected,100.0
sadhu16,7,4,3.5714285714285716,False,False,,57.14
yashrs,7,7,256.85714285714283,True,True,Time-of-check Time-of-use (TOCTOU) Race Condition,100.0
yourdarkshadow,7,7,3.142857142857143,False,False,Violation of Secure Design Principles,100.0
securitythinker,7,7,4.857142857142857,False,False,Cross-site Scripting (XSS) - Generic,100.0
e3amn2l,7,5,4.142857142857143,False,False,,71.43
ba4fe4ca95021d367f8a574,7,5,3.142857142857143,False,False,,71.43
honoki,7,7,155.85714285714286,True,True,Code Injection,100.0
ramsexy,7,7,23.0,True,True,Cross-site Scripting (XSS) - Generic,100.0
a0xnirudh,7,7,7.428571428571429,False,False,Violation of Secure Design Principles,100.0
b258ea62bf297b02afa9854,7,5,15.428571428571429,False,False,,71.43
neex,7,7,134.85714285714286,True,False,Information Disclosure,100.0
gamer7112,7,7,56.285714285714285,False,False,Classic Buffer Overflow,100.0
putsi,7,7,21.0,True,True,Cross-Site Request Forgery (CSRF),100.0
psych0tr1a,7,7,6.142857142857143,False,False,Cross-site Scripting (XSS) - Generic,100.0
naaash,7,7,42.142857142857146,True,True,Insecure Direct Object Reference (IDOR),100.0
theyarestone,7,7,5.285714285714286,False,False,Uncontrolled Resource Consumption,100.0
thezawad,7,5,9.142857142857142,False,False,Cross-site Scripting (XSS) - Generic,71.43
d1pakda5,6,4,4.666666666666667,False,False,Cryptographic Issues - Generic,66.67
emitrani,6,6,35.5,True,True,Improper Access Control - Generic,100.0
logicmap,6,6,4.5,False,False,,100.0
cyberunit,6,6,6.666666666666667,False,False,Improper Authentication - Generic,100.0
exception,6,6,36.5,True,True,,100.0
bhaskar_ram,6,1,5.833333333333333,False,False,Cross-site Scripting (XSS) - Reflected,16.67
khalidamin,6,5,5.5,False,False,,83.33
xifengweiyu,6,1,3.0,False,False,Improper Access Control - Generic,16.67
xixabangm4,6,6,1.8333333333333333,False,False,Buffer Over-read,100.0
d4rk_g1rl,6,4,18.0,True,False,,66.67
glc,6,6,29.833333333333332,False,False,Cross-site Scripting (XSS) - Reflected,100.0
kanytu,6,6,26.0,False,False,Insecure Storage of Sensitive Information,100.0
yarbabin,6,6,20.666666666666668,False,False,Command Injection - Generic,100.0
bugstar,6,6,23.0,False,False,Information Disclosure,100.0
heeeeen,6,6,22.166666666666668,False,False,Information Disclosure,100.0
bhl,6,6,11.333333333333334,False,False,Cross-site Scripting (XSS) - Reflected,100.0
corb3nik,6,6,49.666666666666664,True,True,,100.0
dsopas,6,5,6.666666666666667,False,False,Cross-site Scripting (XSS) - Generic,83.33
bitquark,6,6,28.5,False,False,Uncontrolled Resource Consumption,100.0
byq,6,6,168.16666666666666,True,False,Server-Side Request Forgery (SSRF),100.0
cris_semmle,6,5,6.333333333333333,False,False,Command Injection - Generic,83.33
jackb898,6,4,49.833333333333336,False,False,,66.67
iamsanskar,6,6,5.333333333333333,True,False,Information Disclosure,100.0
jackds,6,5,8.0,True,True,Violation of Secure Design Principles,83.33
c37hun,6,6,3.6666666666666665,False,False,,100.0
hussein98d,6,5,8.166666666666666,True,True,,83.33
jeriko_one,6,6,18.0,False,False,Authentication Bypass Using an Alternate Path or Channel,100.0
jin0ne,6,6,44.5,True,True,Server-Side Request Forgery (SSRF),100.0
dkasak,6,6,10.5,True,True,Uncontrolled Resource Consumption,100.0
jmp_35p,6,6,45.0,False,False,Improper Access Control - Generic,100.0
zephrfish,6,6,18.166666666666668,False,False,Information Disclosure,100.0
homosec,6,6,17.833333333333332,False,False,Cross-site Scripting (XSS) - Reflected,100.0
hitman_47,6,6,46.666666666666664,False,False,Cross-site Scripting (XSS) - Stored,100.0
youstin,6,6,111.66666666666667,True,True,Uncontrolled Resource Consumption,100.0
datph4m,6,6,100.5,True,True,Insecure Direct Object Reference (IDOR),100.0
apok,6,5,4.333333333333333,True,True,Cross-site Scripting (XSS) - Generic,83.33
harry_mg,6,6,1.8333333333333333,True,True,Cross-site Scripting (XSS) - Generic,100.0
zoczus,6,6,15.0,False,False,,100.0
billy_blaze,6,6,14.166666666666666,False,False,Improper Authentication - Generic,100.0
kazan71p,6,6,76.0,True,True,Misconfiguration,100.0
omarelfarsaoui,6,5,12.0,False,False,Cross-site Scripting (XSS) - Stored,83.33
mrnbayoh,6,6,64.5,False,False,Command Injection - Generic,100.0
n0x496n,6,6,29.0,True,False,Cross-site Scripting (XSS) - Reflected,100.0
mariuszpoplawski,6,6,31.333333333333332,False,False,Cross-site Scripting (XSS) - Generic,100.0
thsa,6,5,6.0,False,False,Cross-site Scripting (XSS) - Generic,83.33
nstikhomirov,6,6,17.166666666666668,False,False,Cross-site Scripting (XSS) - Generic,100.0
todayisnew,6,5,52.333333333333336,True,True,Information Disclosure,83.33
reptou,6,6,8.833333333333334,True,True,Improper Access Control - Generic,100.0
rhynorater,6,5,52.166666666666664,True,True,Server-Side Request Forgery (SSRF),83.33
saajanbhujel,6,5,37.833333333333336,False,False,Cross-site Scripting (XSS) - DOM,83.33
quistertow,6,6,7.0,False,False,Cross-site Scripting (XSS) - Generic,100.0
mdv,6,6,10.333333333333334,True,False,Cross-site Scripting (XSS) - Generic,100.0
pavanw3b,6,5,6.5,False,False,Cross-site Scripting (XSS) - Generic,83.33
meals,6,6,37.333333333333336,True,True,Improper Authentication - Generic,100.0
aaron_costello,6,5,44.166666666666664,False,False,Classic Buffer Overflow,83.33
rpadovani,6,6,64.83333333333333,False,False,Improper Access Control - Generic,100.0
mefkan,6,6,8.166666666666666,False,False,Cross-site Scripting (XSS) - Generic,100.0
melbadry9,6,6,10.166666666666666,False,False,Privilege Escalation,100.0
mike12,6,5,55.666666666666664,False,False,Cross-site Scripting (XSS) - Stored,83.33
mg36,6,6,4.0,False,False,Memory Corruption - Generic,100.0
netranger,6,6,13.333333333333334,True,True,Information Disclosure,100.0
shailesh4594,6,5,24.166666666666668,True,True,Open Redirect,83.33
tomvg,6,6,17.166666666666668,False,False,Improper Authentication - Generic,100.0
snapsec,6,6,17.666666666666668,True,True,Improper Access Control - Generic,100.0
lulliii,6,2,4.166666666666667,False,False,,33.33
saurabhb,6,6,30.333333333333332,True,False,Improper Authentication - Generic,100.0
niks,6,3,3.0,False,False,Cross-Site Request Forgery (CSRF),50.0
shell_c0de,6,6,58.0,False,False,,100.0
titanous,6,6,5.333333333333333,False,False,Memory Corruption - Generic,100.0
m4ll0k,6,6,18.333333333333332,True,True,Information Disclosure,100.0
0xsaikiran,6,1,2.8333333333333335,False,False,,16.67
sec0ndw0lf,6,6,2.5,False,False,Cross-site Scripting (XSS) - Reflected,100.0
luizviana,6,6,36.0,True,False,Cross-site Scripting (XSS) - Reflected,100.0
ba56adcb299ff13a87475bf,5,5,8.0,False,False,Information Disclosure,100.0
xtross1,5,2,4.4,False,False,Improper Authentication - Generic,40.0
protector47,5,4,23.0,False,False,Information Disclosure,80.0
f_m,5,5,33.0,True,False,Insecure Direct Object Reference (IDOR),100.0
0x0luke,5,5,17.6,False,False,,100.0
r0p3,5,4,3.6,False,False,Cross-site Scripting (XSS) - Generic,80.0
punkrock,5,5,4.8,False,False,,100.0
theappsec,5,5,13.8,False,False,Cross-site Scripting (XSS) - Stored,100.0
qab,5,5,12.8,False,False,Code Injection,100.0
firestone,5,0,1.0,False,False,,0.0
fosec,5,5,1.0,False,False,Memory Corruption - Generic,100.0
adrianomarcmont,5,5,2.6,False,False,Cross-site Scripting (XSS) - Generic,100.0
p4fg,5,5,58.0,True,True,Cross-site Scripting (XSS) - DOM,100.0
b3nac,5,4,12.8,False,False,Violation of Secure Design Principles,80.0
freesec,5,5,85.6,True,False,Insecure Direct Object Reference (IDOR),100.0
nyancat0131,5,5,75.2,False,False,Stack Overflow,100.0
atruba,5,4,5.2,False,False,,80.0
tikoo_sahil,5,5,8.8,False,False,Uncontrolled Resource Consumption,100.0
x3ph_,5,5,6.0,False,False,Cross-site Scripting (XSS) - Reflected,100.0
hassham,5,4,16.6,False,False,Command Injection - Generic,80.0
harisec,5,5,184.4,True,True,Cross-site Scripting (XSS) - Stored,100.0
xanbanx,5,5,22.8,False,False,Improper Access Control - Generic,100.0
hackit_bharat,5,5,31.6,True,False,Improper Restriction of Authentication Attempts,100.0
hackeronanywhere,5,5,10.8,True,False,,100.0
xer0dayz,5,4,15.0,False,False,Uncontrolled Resource Consumption,80.0
grzegol,5,5,23.0,False,False,,100.0
