year_month,vulnerability_type,report_count,bounty_count,organization_count,bounty_percentage
2015-07,Violation of Secure Design Principles,6,5,5,83.33
2015-07,Improper Authentication - Generic,5,5,5,100.0
2015-07,Information Disclosure,5,4,4,80.0
2015-07,Cryptographic Issues - Generic,3,1,3,33.33
2015-07,Memory Corruption - Generic,3,3,1,100.0
2015-07,Command Injection - Generic,2,2,2,100.0
2015-07,Cross-Site Request Forgery (CSRF),2,1,2,50.0
2015-07,Open Redirect,2,2,2,100.0
2015-07,Privilege Escalation,2,2,1,100.0
2015-07,Code Injection,1,0,1,0.0
2015-07,SQL Injection,1,1,1,100.0
2015-08,Cross-site Scripting (XSS) - Generic,21,11,11,52.38
2015-08,,10,10,1,100.0
2015-08,Information Disclosure,5,2,2,40.0
2015-08,Violation of Secure Design Principles,5,2,4,40.0
2015-08,Improper Authentication - Generic,4,1,3,25.0
2015-08,Cross-Site Request Forgery (CSRF),3,0,1,0.0
2015-08,Privilege Escalation,3,1,2,33.33
2015-08,Uncontrolled Resource Consumption,2,0,2,0.0
2015-08,Code Injection,1,0,1,0.0
2015-08,Command Injection - Generic,1,0,1,0.0
2015-08,Cryptographic Issues - Generic,1,0,1,0.0
2015-08,Memory Corruption - Generic,1,0,1,0.0
2015-08,Phishing,1,0,1,0.0
2015-08,UI Redressing (Clickjacking),1,1,1,100.0
2015-09,Cross-site Scripting (XSS) - Generic,15,9,7,60.0
2015-09,,9,9,2,100.0
2015-09,Information Disclosure,7,3,6,42.86
2015-09,Violation of Secure Design Principles,6,1,4,16.67
2015-09,Improper Authentication - Generic,5,4,4,80.0
2015-09,Uncontrolled Resource Consumption,3,2,3,66.67
2015-09,Cross-Site Request Forgery (CSRF),2,2,2,100.0
2015-09,Open Redirect,2,1,2,50.0
2015-09,Command Injection - Generic,1,0,1,0.0
2015-09,Cryptographic Issues - Generic,1,0,1,0.0
2015-09,Privilege Escalation,1,1,1,100.0
2015-09,SQL Injection,1,1,1,100.0
2015-10,Improper Authentication - Generic,15,13,5,86.67
2015-10,Cross-site Scripting (XSS) - Generic,10,5,8,50.0
2015-10,,8,5,8,62.5
2015-10,Cross-Site Request Forgery (CSRF),5,4,4,80.0
2015-10,Cryptographic Issues - Generic,5,1,4,20.0
2015-10,Privilege Escalation,5,5,2,100.0
2015-10,Information Disclosure,4,2,3,50.0
2015-10,Violation of Secure Design Principles,4,2,4,50.0
2015-10,Open Redirect,2,2,2,100.0
2015-10,Uncontrolled Resource Consumption,2,1,2,50.0
2015-10,Cross-site Scripting (XSS) - Reflected,1,0,1,0.0
2015-11,Cross-site Scripting (XSS) - Reflected,11,0,1,0.0
2015-11,Improper Authentication - Generic,11,9,9,81.82
2015-11,Cross-site Scripting (XSS) - Generic,10,9,9,90.0
2015-11,Cross-Site Request Forgery (CSRF),8,8,6,100.0
2015-11,,7,7,4,100.0
2015-11,Information Disclosure,7,2,4,28.57
2015-11,Open Redirect,4,4,4,100.0
2015-11,Violation of Secure Design Principles,4,2,4,50.0
2015-11,Code Injection,3,2,3,66.67
2015-11,Privilege Escalation,3,3,2,100.0
2015-11,Command Injection - Generic,2,1,2,50.0
2015-11,Cryptographic Issues - Generic,2,2,1,100.0
2015-11,Memory Corruption - Generic,1,0,1,0.0
2015-11,Server-Side Request Forgery (SSRF),1,1,1,100.0
2015-11,UI Redressing (Clickjacking),1,1,1,100.0
2015-12,Cross-site Scripting (XSS) - Generic,15,13,10,86.67
2015-12,,6,3,3,50.0
2015-12,Command Injection - Generic,5,2,2,40.0
2015-12,Open Redirect,4,3,4,75.0
2015-12,Violation of Secure Design Principles,4,3,3,75.0
2015-12,Cross-Site Request Forgery (CSRF),3,3,2,100.0
2015-12,Uncontrolled Resource Consumption,3,0,1,0.0
2015-12,Code Injection,2,1,2,50.0
2015-12,Improper Authentication - Generic,2,2,2,100.0
2015-12,Information Disclosure,2,1,2,50.0
2015-12,Privilege Escalation,2,2,2,100.0
2015-12,Cryptographic Issues - Generic,1,0,1,0.0
2015-12,Improper Access Control - Generic,1,1,1,100.0
2015-12,Memory Corruption - Generic,1,1,1,100.0
2015-12,UI Redressing (Clickjacking),1,0,1,0.0
2016-01,Cross-site Scripting (XSS) - Generic,14,4,9,28.57
2016-01,Memory Corruption - Generic,13,13,2,100.0
2016-01,,9,8,7,88.89
2016-01,Violation of Secure Design Principles,9,5,5,55.56
2016-01,Information Disclosure,5,3,5,60.0
2016-01,Improper Authentication - Generic,4,3,3,75.0
2016-01,Open Redirect,4,3,4,75.0
2016-01,SQL Injection,4,3,2,75.0
2016-01,Uncontrolled Resource Consumption,4,2,4,50.0
2016-01,Cross-Site Request Forgery (CSRF),3,2,3,66.67
2016-01,Cryptographic Issues - Generic,3,3,3,100.0
2016-01,Phishing,3,0,1,0.0
2016-01,Code Injection,2,2,1,100.0
2016-01,Command Injection - Generic,1,1,1,100.0
2016-01,Privilege Escalation,1,1,1,100.0
2016-02,Violation of Secure Design Principles,24,9,8,37.5
2016-02,Cross-site Scripting (XSS) - Generic,21,8,12,38.1
2016-02,Improper Authentication - Generic,19,13,11,68.42
2016-02,Information Disclosure,17,9,9,52.94
2016-02,,10,7,8,70.0
2016-02,Code Injection,6,5,3,83.33
2016-02,Memory Corruption - Generic,6,5,2,83.33
2016-02,Cross-Site Request Forgery (CSRF),5,2,5,40.0
2016-02,SQL Injection,4,3,3,75.0
2016-02,Command Injection - Generic,3,3,3,100.0
2016-02,Uncontrolled Resource Consumption,3,2,2,66.67
2016-02,Cryptographic Issues - Generic,2,1,2,50.0
2016-02,Open Redirect,2,2,2,100.0
2016-02,Privilege Escalation,2,1,1,50.0
2016-03,Cross-site Scripting (XSS) - Generic,27,14,13,51.85
2016-03,Improper Authentication - Generic,21,8,10,38.1
2016-03,Information Disclosure,17,10,6,58.82
2016-03,Privilege Escalation,11,1,3,9.09
2016-03,Violation of Secure Design Principles,11,6,5,54.55
2016-03,,9,6,5,66.67
2016-03,Memory Corruption - Generic,6,5,2,83.33
2016-03,Uncontrolled Resource Consumption,6,2,4,33.33
2016-03,Code Injection,5,5,4,100.0
2016-03,Cross-Site Request Forgery (CSRF),4,2,4,50.0
2016-03,Cryptographic Issues - Generic,3,1,3,33.33
2016-03,Command Injection - Generic,2,2,2,100.0
2016-03,Open Redirect,2,1,2,50.0
2016-03,SQL Injection,2,2,1,100.0
2016-03,UI Redressing (Clickjacking),2,0,2,0.0
2016-03,Improper Restriction of Authentication Attempts,1,1,1,100.0
2016-04,Cross-site Scripting (XSS) - Generic,22,12,11,54.55
2016-04,Violation of Secure Design Principles,18,8,9,44.44
2016-04,Improper Authentication - Generic,15,9,10,60.0
2016-04,Information Disclosure,11,0,6,0.0
2016-04,,7,2,7,28.57
2016-04,Memory Corruption - Generic,6,4,3,66.67
2016-04,Cross-Site Request Forgery (CSRF),5,4,4,80.0
2016-04,Cryptographic Issues - Generic,4,1,4,25.0
2016-04,Privilege Escalation,4,1,3,25.0
2016-04,Open Redirect,3,3,3,100.0
2016-04,Uncontrolled Resource Consumption,3,2,3,66.67
2016-04,Code Injection,2,2,2,100.0
2016-04,Command Injection - Generic,2,2,2,100.0
2016-04,Cross-site Scripting (XSS) - Reflected,1,1,1,100.0
2016-04,SQL Injection,1,1,1,100.0
2016-04,UI Redressing (Clickjacking),1,0,1,0.0
2016-05,Cross-site Scripting (XSS) - Generic,28,12,18,42.86
2016-05,Information Disclosure,13,8,13,61.54
2016-05,Improper Authentication - Generic,11,9,7,81.82
2016-05,Memory Corruption - Generic,11,11,3,100.0
2016-05,,7,2,6,28.57
2016-05,Violation of Secure Design Principles,7,2,6,28.57
2016-05,Cross-Site Request Forgery (CSRF),6,4,4,66.67
2016-05,Cryptographic Issues - Generic,4,3,2,75.0
2016-05,Code Injection,3,2,2,66.67
2016-05,Privilege Escalation,3,2,3,66.67
2016-05,SQL Injection,2,2,1,100.0
2016-05,Command Injection - Generic,1,1,1,100.0
2016-05,Open Redirect,1,1,1,100.0
2016-05,UI Redressing (Clickjacking),1,1,1,100.0
2016-05,Uncontrolled Resource Consumption,1,1,1,100.0
2016-06,Improper Authentication - Generic,24,8,9,33.33
2016-06,Cross-site Scripting (XSS) - Generic,18,11,12,61.11
2016-06,Information Disclosure,18,10,11,55.56
2016-06,Violation of Secure Design Principles,17,4,8,23.53
2016-06,,16,8,10,50.0
2016-06,Memory Corruption - Generic,15,13,3,86.67
2016-06,Command Injection - Generic,6,0,4,0.0
2016-06,Uncontrolled Resource Consumption,5,3,3,60.0
2016-06,Cryptographic Issues - Generic,4,2,4,50.0
2016-06,Privilege Escalation,4,4,3,100.0
2016-06,Code Injection,3,3,1,100.0
2016-06,Cross-Site Request Forgery (CSRF),3,0,3,0.0
2016-06,SQL Injection,3,2,2,66.67
2016-06,Open Redirect,2,0,2,0.0
2016-06,UI Redressing (Clickjacking),1,0,1,0.0
2016-07,Cross-site Scripting (XSS) - Generic,42,19,18,45.24
2016-07,Information Disclosure,25,9,13,36.0
2016-07,Memory Corruption - Generic,16,14,2,87.5
2016-07,Violation of Secure Design Principles,16,4,8,25.0
2016-07,Improper Authentication - Generic,10,6,7,60.0
2016-07,Cross-Site Request Forgery (CSRF),7,3,7,42.86
2016-07,Code Injection,6,4,4,66.67
2016-07,,5,2,5,40.0
2016-07,Privilege Escalation,5,4,4,80.0
2016-07,Command Injection - Generic,4,2,4,50.0
2016-07,Cryptographic Issues - Generic,4,1,4,25.0
2016-07,Open Redirect,3,2,1,66.67
2016-07,Uncontrolled Resource Consumption,2,1,2,50.0
2016-07,SQL Injection,1,1,1,100.0
2016-07,UI Redressing (Clickjacking),1,1,1,100.0
2016-08,Violation of Secure Design Principles,27,13,11,48.15
2016-08,Cross-site Scripting (XSS) - Generic,26,16,17,61.54
2016-08,Improper Authentication - Generic,21,13,15,61.9
2016-08,Information Disclosure,21,9,14,42.86
2016-08,,16,12,8,75.0
2016-08,Memory Corruption - Generic,11,11,1,100.0
2016-08,Cross-Site Request Forgery (CSRF),10,6,8,60.0
2016-08,Privilege Escalation,10,5,7,50.0
2016-08,Command Injection - Generic,7,3,6,42.86
2016-08,Open Redirect,6,4,4,66.67
2016-08,Code Injection,5,5,3,100.0
2016-08,UI Redressing (Clickjacking),3,0,1,0.0
2016-08,Uncontrolled Resource Consumption,3,2,2,66.67
2016-08,Cryptographic Issues - Generic,2,1,2,50.0
2016-08,SQL Injection,2,2,2,100.0
2016-08,Business Logic Errors,1,1,1,100.0
2016-08,Cross-site Scripting (XSS) - Stored,1,0,1,0.0
2016-09,Memory Corruption - Generic,27,23,2,85.19
2016-09,Cross-site Scripting (XSS) - Generic,21,9,17,42.86
2016-09,Information Disclosure,19,7,13,36.84
2016-09,Violation of Secure Design Principles,16,10,14,62.5
2016-09,Improper Authentication - Generic,10,6,8,60.0
2016-09,,9,4,9,44.44
2016-09,Privilege Escalation,5,3,3,60.0
2016-09,Cross-Site Request Forgery (CSRF),4,3,4,75.0
2016-09,Open Redirect,4,2,4,50.0
2016-09,Code Injection,2,1,1,50.0
2016-09,Command Injection - Generic,2,0,2,0.0
2016-09,Cryptographic Issues - Generic,2,2,1,100.0
2016-09,SQL Injection,2,2,2,100.0
2016-09,UI Redressing (Clickjacking),1,0,1,0.0
2016-09,Uncontrolled Resource Consumption,1,1,1,100.0
2016-10,Cross-site Scripting (XSS) - Generic,17,6,13,35.29
2016-10,Information Disclosure,16,12,15,75.0
2016-10,,12,6,9,50.0
2016-10,Memory Corruption - Generic,12,11,1,91.67
2016-10,Violation of Secure Design Principles,10,4,5,40.0
2016-10,Cross-Site Request Forgery (CSRF),7,3,6,42.86
2016-10,Improper Authentication - Generic,6,4,6,66.67
2016-10,Privilege Escalation,5,3,5,60.0
2016-10,Code Injection,4,3,2,75.0
2016-10,Open Redirect,3,2,3,66.67
2016-10,Uncontrolled Resource Consumption,3,3,2,100.0
2016-10,HTTP Response Splitting,2,1,1,50.0
2016-10,SQL Injection,2,0,1,0.0
2016-10,Cross-site Scripting (XSS) - Reflected,1,0,1,0.0
2016-10,Cryptographic Issues - Generic,1,0,1,0.0
2016-11,Memory Corruption - Generic,28,27,3,96.43
2016-11,Cross-site Scripting (XSS) - Generic,27,8,11,29.63
2016-11,Uncontrolled Resource Consumption,26,21,3,80.77
2016-11,Information Disclosure,16,5,9,31.25
2016-11,,15,11,11,73.33
2016-11,Code Injection,8,7,4,87.5
2016-11,Improper Authentication - Generic,8,3,6,37.5
2016-11,Violation of Secure Design Principles,7,4,5,57.14
2016-11,Privilege Escalation,5,2,4,40.0
2016-11,Command Injection - Generic,4,1,4,25.0
2016-11,Open Redirect,3,0,3,0.0
2016-11,Cross-Site Request Forgery (CSRF),2,0,2,0.0
2016-11,Cryptographic Issues - Generic,2,1,2,50.0
2016-11,SQL Injection,2,2,1,100.0
2016-11,Server-Side Request Forgery (SSRF),2,2,2,100.0
2016-11,HTTP Response Splitting,1,0,1,0.0
2016-11,UI Redressing (Clickjacking),1,0,1,0.0
2016-11,Use After Free,1,1,1,100.0
2016-11,XML External Entities (XXE),1,0,1,0.0
2016-12,Cross-site Scripting (XSS) - Generic,40,15,14,37.5
2016-12,Uncontrolled Resource Consumption,17,15,3,88.24
2016-12,Information Disclosure,14,4,9,28.57
2016-12,Memory Corruption - Generic,13,13,3,100.0
2016-12,Improper Authentication - Generic,9,3,6,33.33
2016-12,SQL Injection,9,2,2,22.22
2016-12,,6,1,3,16.67
2016-12,Open Redirect,6,4,5,66.67
2016-12,Privilege Escalation,5,5,5,100.0
2016-12,Violation of Secure Design Principles,5,1,3,20.0
2016-12,Command Injection - Generic,4,2,2,50.0
2016-12,Cross-Site Request Forgery (CSRF),4,1,3,25.0
2016-12,Code Injection,3,0,3,0.0
2016-12,Server-Side Request Forgery (SSRF),3,1,3,33.33
2016-12,Cryptographic Issues - Generic,2,1,2,50.0
2016-12,Cross-site Scripting (XSS) - Reflected,1,1,1,100.0
2016-12,Cross-site Scripting (XSS) - Stored,1,1,1,100.0
2016-12,File and Directory Information Exposure,1,0,1,0.0
2016-12,HTTP Response Splitting,1,0,1,0.0
2016-12,Insecure Direct Object Reference (IDOR),1,1,1,100.0
2016-12,Unrestricted Upload of File with Dangerous Type,1,0,1,0.0
2017-01,Cross-site Scripting (XSS) - Generic,26,14,18,53.85
2017-01,Information Disclosure,19,3,12,15.79
2017-01,Uncontrolled Resource Consumption,13,12,2,92.31
2017-01,Improper Authentication - Generic,12,6,10,50.0
2017-01,Violation of Secure Design Principles,11,4,9,36.36
2017-01,SQL Injection,10,4,3,40.0
2017-01,Memory Corruption - Generic,6,5,2,83.33
2017-01,,5,1,3,20.0
2017-01,Privilege Escalation,5,2,4,40.0
2017-01,Cryptographic Issues - Generic,4,0,4,0.0
2017-01,Code Injection,2,2,1,100.0
2017-01,Cross-Site Request Forgery (CSRF),2,2,1,100.0
2017-01,Server-Side Request Forgery (SSRF),2,2,2,100.0
2017-01,UI Redressing (Clickjacking),2,0,2,0.0
2017-01,Command Injection - Generic,1,1,1,100.0
2017-01,HTTP Response Splitting,1,1,1,100.0
2017-01,NULL Pointer Dereference,1,1,1,100.0
2017-01,Out-of-bounds Read,1,1,1,100.0
2017-01,Use After Free,1,1,1,100.0
2017-02,Improper Authentication - Generic,18,12,10,66.67
2017-02,Violation of Secure Design Principles,18,4,13,22.22
2017-02,Cross-site Scripting (XSS) - Generic,17,6,12,35.29
2017-02,Information Disclosure,11,4,11,36.36
2017-02,Memory Corruption - Generic,11,11,2,100.0
2017-02,Uncontrolled Resource Consumption,10,9,2,90.0
2017-02,Cross-Site Request Forgery (CSRF),6,6,6,100.0
2017-02,Privilege Escalation,5,4,5,80.0
2017-02,,3,2,3,66.67
2017-02,Code Injection,2,1,2,50.0
2017-02,Cryptographic Issues - Generic,2,0,2,0.0
2017-02,SQL Injection,2,2,2,100.0
2017-02,Server-Side Request Forgery (SSRF),2,1,2,50.0
2017-02,HTTP Response Splitting,1,0,1,0.0
2017-02,Heap Overflow,1,1,1,100.0
2017-02,Improper Restriction of Authentication Attempts,1,1,1,100.0
2017-02,Open Redirect,1,0,1,0.0
2017-03,Uncontrolled Resource Consumption,17,16,5,94.12
2017-03,Information Disclosure,12,8,10,66.67
2017-03,Violation of Secure Design Principles,10,5,7,50.0
2017-03,,9,4,5,44.44
2017-03,Memory Corruption - Generic,9,8,3,88.89
2017-03,Code Injection,7,2,2,28.57
2017-03,Cross-site Scripting (XSS) - Generic,7,5,7,71.43
2017-03,Cross-Site Request Forgery (CSRF),5,4,5,80.0
2017-03,NULL Pointer Dereference,5,5,1,100.0
2017-03,Open Redirect,5,0,4,0.0
2017-03,Cross-site Scripting (XSS) - Reflected,4,2,4,50.0
